F.W.BELL,MODEL 9550,V1.1;
, average for 10 data points
V = 8.812, A = 2.299
deltaX = 100 steps.
Starting position: tip of probe is 1.8 inches below resting surface of magnetic coil.
4800,2.2390999999999996,9.486832980508306e-05
4900,2.239,0.0
5000,2.2393,0.00014491376746194278
5100,2.2398000000000002,0.00012649110640677738
5200,2.2403,0.0001449137674618784
5300,2.2409,9.486832980504093e-05
5400,2.241,0.0
5500,2.2411000000000003,0.00017029386365924527
5600,2.2409,9.486832980504093e-05
5700,2.2414,0.0001549193338482796
5800,2.2412,0.00012649110640672122
5900,2.2414,0.0001549193338482796
6000,2.2416000000000005,0.0001549193338482796
6100,2.2416000000000005,0.0001549193338482796
6200,2.2419000000000002,9.486832980504093e-05
6300,2.2419000000000002,9.486832980504093e-05
6400,2.242,0.0
6500,2.2417000000000002,0.00014491376746187843
6600,2.2419,0.00026267851073124497
6700,2.2416,0.0002097617696340072
6800,2.2419000000000002,9.486832980504093e-05
6900,2.2419,0.00026267851073124497
7000,2.2418000000000005,0.00012649110640672122
7100,2.2411000000000003,9.486832980504093e-05
7200,2.2413000000000003,0.0001449137674618784
7300,2.2410000000000005,0.00019999999999997795
7400,2.2403,0.0001449137674618784
7500,2.2405,0.0002549509756796634
7600,2.2403,0.0001449137674618784
7700,2.2393,0.00014491376746194278
7800,2.2390999999999996,9.486832980508306e-05
7900,2.2389,0.00022135943621180628
8000,2.239,0.0
8100,2.2384,0.00020976176963404108
8200,2.2379,9.486832980504093e-05
8300,2.2370000000000005,1.4043333874306804e-16
8400,2.2367000000000004,0.00014491376746187843
8500,2.2362,0.00012649110640672122
8600,2.2357,0.00014491376746194278
8700,2.2353,0.00014491376746194278
8800,2.2351,9.486832980508306e-05
8900,2.2344,0.00020976176963400717
9000,2.2336,0.0002097617696340072
9100,2.2327000000000004,0.00014491376746187843
9200,2.2327000000000004,0.00024698178070454215
9300,2.2319,0.00017029386365929219
9400,2.2311,0.00017029386365929219
9500,2.2299999999999995,0.00014142135623729392
9600,2.23,0.0
9700,2.229,0.0
9800,2.2283999999999997,0.0001549193338482796
9900,2.2272000000000003,0.0001264911064067774
10000,2.2268,0.00012649110640672122
10100,2.2259,0.00017029386365924527
10200,2.2249000000000003,0.00017029386365924527
10300,2.2241000000000004,0.00017029386365927392
10400,2.2237,0.0002024845673131962
10500,2.2226999999999997,0.00014491376746187843
10600,2.2213000000000003,0.0001449137674618784
10700,2.2199,9.486832980508306e-05
10800,2.2199,9.486832980508306e-05
10900,2.2183,0.0001449137674618784
11000,2.2178,0.00012649110640672122
11100,2.2155,0.00015811388300847177
11200,2.2156000000000002,0.00015491933384834838
11300,2.2142,0.0001897366596100818
11400,2.2131999999999996,0.00012649110640672122
11500,2.2116999999999996,0.00014491376746194278
11600,2.2108999999999996,0.00017029386365927392
11700,2.21,0.0
11800,2.2091000000000003,0.00017029386365924527
11900,2.2073,0.0002469817807046051
12000,2.2065,0.00015811388300840154
12100,2.2056999999999998,0.00014491376746187843
12200,2.204,0.0
12300,2.2022999999999997,0.0001449137674618784
12400,2.202,0.00014142135623729392
12500,2.2004,0.0001549193338482796
12600,2.1993,0.00014491376746194278
12700,2.1976,0.00015491933384827959
12800,2.1969000000000003,9.486832980504093e-05
12900,2.1951,9.486832980508306e-05
13000,2.1936,0.00015491933384827959
13100,2.1922000000000006,0.00018973665961010994
13200,2.1919,9.486832980508306e-05
13300,2.1900000000000004,1.4043333874306804e-16
13400,2.1884,0.0001549193338482796
13500,2.1869,9.486832980504093e-05
13600,2.186,0.0
13700,2.1843999999999997,0.0001549193338482796
13800,2.1831,9.486832980508306e-05
13900,2.1806000000000005,0.0001549193338482796
14000,2.1806000000000005,0.0001549193338482796
14100,2.1782999999999992,0.0001449137674618784
14200,2.1771000000000003,0.00017029386365924527
14300,2.1753,0.00014491376746194278
14400,2.1747,0.00014491376746187843
14500,2.1727000000000003,0.00014491376746187843
14600,2.1713,0.00020248456731320497
14700,2.1688,0.0001897366596100818
14800,2.1692,0.00023664319132395858
14900,2.1666000000000003,0.0001549193338482796
15000,2.1662,0.0001897366596100818
15100,2.1633000000000004,0.00014491376746194278
15200,2.163,0.0
15300,2.1610000000000005,1.4043333874306804e-16
15400,2.1602000000000006,0.00012649110640672122
15500,2.1573,0.0001449137674618784
15600,2.1575,0.0002121320343559409
15700,2.1552999999999995,0.00014491376746194278
15800,2.1545,0.00015811388300840154
15900,2.1519000000000004,9.486832980508306e-05

